book_id,author_id,role
231,87,Illustrator
232,297,Goodreads Author
233,298,writer
233,299,Edito
233,300,writer
234,301,writer
235,26,writer
236,302,Goodreads Author
237,303,writer
238,259,writer
238,260,Translator
239,304,writer
240,110,Goodreads Author
241,78,Goodreads Author
242,259,writer
242,305,Translator
243,306,writer
243,307,Foreword
243,308,Illustrator
244,309,Goodreads Author
245,35,Goodreads Author
246,310,writer
246,311,Translator
247,124,Goodreads Author
248,312,Goodreads Author
249,313,writer
250,314,Goodreads Author
251,315,writer
252,316,writer
253,317,writer
254,51,Goodreads Author
255,318,Goodreads Author
256,319,writer
257,208,Goodreads Author
258,320,Goodreads Author
259,321,writer
259,322,Introduction
260,323,writer
260,324,Illustrator
261,325,Goodreads Author
262,326,Goodreads Author
262,327,writer
263,328,writer
263,329,Foreword
264,1,writer
265,49,writer
266,330,writer
267,331,writer
268,288,Goodreads Author
269,75,Goodreads Author
270,332,writer
271,24,Goodreads Author
272,314,Goodreads Author
273,333,writer
274,334,Goodreads Author
275,51,Goodreads Author
276,335,Goodreads Author
277,336,Goodreads Author
278,337,writer
279,338,writer
279,339,Editor
279,340,Translation
279,341,writer
279,342,Editor
279,343,Editor
279,344,Translator
280,345,writer
280,346,Editor
281,347,writer
282,348,writer
283,147,Goodreads Author
283,349,Illustrator
284,350,writer
284,351,Illustrator
285,86,writer
285,87,Illustrator
286,288,Goodreads Author
286,352,Illustrator
287,353,writer
288,208,Goodreads Author
289,354,writer
290,182,writer
290,355,Goodreads Author)
291,356,writer
291,357,Translator
292,358,writer
293,359,Goodreads Author
294,360,Goodreads Author
294,361,Goodreads Author
295,362,writer
295,363,translator
296,125,Goodreads Author
297,364,Goodreads Author
298,365,"as ""Anonymous"""
298,366,writer
299,367,writer
300,368,writer
301,108,writer
302,369,writer
303,370,writer
303,371,Goodreads Author)
304,372,writer
305,353,writer
305,373,Editor
306,374,writer
307,125,Goodreads Author
308,367,writer
309,375,Goodreads Author
310,376,writer
311,377,writer
311,378,Translation
311,379,Translation
311,380,Goodreads Author)
311,381,Translation
312,105,Goodreads Author
313,382,writer
314,78,Goodreads Author
315,23,writer
316,140,Goodreads Author
317,383,writer
318,43,writer
319,384,writer
320,385,writer
321,386,Goodreads Author
322,387,Goodreads Author
322,388,Adapter
323,105,Goodreads Author
324,389,writer
325,390,writer
326,98,writer
327,391,writer
327,392,Introduction
327,393,Translator
327,394,Translator
328,395,writer
328,396,Translator
329,151,writer
329,397,Translator
330,398,writer
330,399,Goodreads Author)
330,400,Translator
331,401,Goodreads Author
332,84,Goodreads Author
333,72,writer
334,86,writer
334,87,Illustrator
335,402,Goodreads Author
336,2,writer
337,403,writer
338,404,writer
339,405,Goodreads Author
340,205,writer
340,70,Introduction
340,406,Illustrator
340,407,Translation
340,408,Narrator
340,409,Goodreads Author)
341,35,Goodreads Author
342,410,Goodreads Author
343,98,writer
344,232,writer
345,78,Goodreads Author
346,411,writer
347,412,writer
348,413,writer
349,414,writer
349,415,Translator
349,416,Illustrator
350,26,writer
350,417,Contributor
350,418,Editor
351,419,writer
351,420,Translator
352,421,Goodreads Author
353,422,Goodreads Author
354,55,writer
355,423,Goodreads Author
356,424,Goodreads Author
357,425,writer
358,426,writer
359,427,writer
360,428,writer
361,429,Goodreads Author
362,430,writer
363,431,writer
364,432,Goodreads Author
365,225,Goodreads Author
366,433,writer
367,434,writer
